Address,esMP Amount
0x4D9EB5BE0aE58D5a6c32A816702d89af8AE7a096,777777
0x4998f0A84e43cB3A753C8d8908D4e8Ee3ea175B6,777777
0x3Da00d8107DE86885e1c826F4eb4E5551B97D419,5272
0x69B7373cEe4682fe2815FA59815464552870779d,5272
0xbC22898bF71fb6BaAdb9ACb7C67D3F6f491D5Ff9,5272
0x76E62e0a423CdB147DA3f02EA6BAb0c45509C69A,5272
0x26eD505fCe70D11cbC98C6AD4DB6946dC72FAe75,5272
0xCd7A0c735A2213EC891228D6f282728bdD6c183d,5272
0xf5A10f2A36f6fF27882Af68B9A40173Da7E80D74,5272
0xA0EE1484eD05124A2B50fbed6F66deD02FCD3007,5272
0x921a7e2b73519A078bD22393F5d4ceA3FD5e7d8f,5272
0xE043a2b7512159Dfd07589d5bFf59BC85FaF03F2,5272
0x68236E5032c51022fc73D607Ff5B81b969A95de1,5272
0x62ebFd6e604c12F42512837ff153F977a179e3cA,78873
0xB7A1C6A5143b2D0EFFf58e6934b5117CB8781253,5272
0xa4FeC41d46b54a881E2Af71d60fcA5225e679997,78873
0x4fD0aC942B83dcaAC4649b1B7CbDA09b3358A9f5,5272
0x321Bd8bAe04c0Cc83274587531eC184Ca61eEcA3,5272
0x406b1698FB814512Ee4f853255D166073Fbe4900,78873
0x647703Ea4880644AC7206AbeF235c8992F7e542c,5272
0xA41DB2e04a4dadA6ef04372092c8FF4C0e709805,78873
0x2102de58CEFC0d1B23c5bCC26aD4c047EAC31C1d,5272
0x30b643678AfFDb03D0D42255207d58AA369Fe7e9,5272
0x9d8b6AE325B6a89d447D6d9aA3bEa66443a78A17,5272
0x13418cf9Bf6118b39e379cb97e2F827288132e9E,5272
0x92F1862B46bdBA9b5015e85A12dA95F5a4B26088,5272
0x1A7e501f22451e8d60aDf48079f2e38e8DF15965,5272
0x04e302407656d016a7661633742Cf2bA8F8A2BdA,5272
0xD6CcAd20d688739349f0E4F3ae2ec69bC5039354,5272
0x482403Ae658B6261f5B8893B22295f594c427a40,5272
0x59c37E94Da9747052d4C051D1832BAb10d4AF2b5,5272
0x27B5652461F5F869b4279B01b891829837426db7,5272
0x069cD5f524db80b080C7A01277B081445d22DaE7,5272
0xb0e52843169B91C52253F160E8e3BABcc2eB3686,5272
0x020a580Ff0a66427287CE585410df6CA3C63e5A5,5272
0xFC735db1f52Df9915ce8C2C24CC19d0755301611,5272
0xC63b52f868d719E36eEaa8726173B9FFb8090587,5272
0xCa2fF0Ffc894a31A0558d763AdF8a81B30773516,5272
0x33Df9dAf39d65ab0bdBD20c9F1e6D1948D15281F,5272
0x7a0222dee3519854468f31154a4349C92814875F,5272
0x3de87589881E0180665595d238FA6F2957D3143C,5272
0xef34138b7D8654b0bBbDEd60EEe651473fC89BA6,5272
0xCFFEaBE2598aB7fE8952B430a7CF2d7292AB0D65,5272
0x5529e0608cFC0caB5Bb86B59CBa7E88F0F66dFeF,5272
0x7ce01E89922624f63aBAe3262F33A68dDE76Bb08,5272
0x6193460DA09434EDAB8EbfBFE5dc6732527CF0d0,5272
0xacD551d75383DD81d61892DBc0eB67C165DA64A4,5272
0xcA2cEA093D8eAF858CA68de6F9EF73088434f64a,5272
0x017cBb5e652828e2c8eeDFF3dEe91B36a8fE8303,5272
0x5C26001FE745B7B374B4AAEf55bCD7416F5acAf8,5272
0x0272C4adDD229f4884e32de393e4bEb78700A747,5272
0x926A4fE5afABaC1DCBf9993e0E0e7fC18b29D79F,5272
0xd31C6189a44A0A7b36549Eb34a20F33efC06Fe65,5272
0xffC656D3106e2e7c8f5BB3e266A5f79F0F19D2ec,5272
0xdc609FcEaD93d00398D3d35625E378fb4B5580fc,5272
0x21Ab4F59e1a08E421aeDBf88189f101F84A803a3,5272
0xC14Fbc27402073A90C7894800710689aDbBE7cbC,5272
0xE6F5fba27903Ed82157062eE5eA0f53D128163ec,5272
0x5E2402559c0DA94A45B16d8642097c28665C6077,5272
0x2d9e043B1eE4158FFde824E7085617dD00A7D899,5272
0x64E8Cce4a93249c0bAef5E6116B798795d063B9E,5272
0x551BfE55c856AE3abbB406136436DBD980dC1E4A,5272
0x6Bf7Fda767e4f8337f8BB2caBc9A4894072b53AA,5272
0x97bA36556F992D97FA6957F98b21702A2E368C50,777777
0x5D4A5716d7C67C11355AB5B63A8Ef462F81C6081,5272
